file,school,title,start,source_url,reason
michigan-b.json,Michigan Ross Executive Education,Creating and Delivering Value for Your Organization,2026-10-26,https://michiganross.umich.edu/programs/executive-education/creating-and-delivering-value-your-organization?event=13861,no teaching days
michigan-b.json,Michigan Ross Executive Education,Creating and Delivering Value for Your Organization,2027-04-26,https://michiganross.umich.edu/programs/executive-education/creating-and-delivering-value-your-organization?event=13864,no teaching days
michigan-b.json,Michigan Ross Executive Education,Digital Transformation and Innovation,2027-03-01,https://michiganross.umich.edu/programs/executive-education/digital-transformation-and-innovation?event=14144,no teaching days
michigan-b.json,Michigan Ross Executive Education,Digital Transformation and Innovation,2027-08-23,https://michiganross.umich.edu/programs/executive-education/digital-transformation-and-innovation?event=14144,no teaching days
michigan-b.json,Michigan Ross Executive Education,Chief Data and AI Officer Program,2026-11-17,https://michiganross.umich.edu/programs/executive-education/chief-data-and-ai-officer-program?event=14138,no teaching days
michigan-b.json,Michigan Ross Executive Education,Strategy and Competitive Advantage,2027-05-30,https://michiganross.umich.edu/programs/executive-education/strategy-and-competitive-advantage?event=13863,no teaching days
michigan-b.json,Michigan Ross Executive Education,Strategy and Competitive Advantage,2026-11-30,https://michiganross.umich.edu/programs/executive-education/strategy-and-competitive-advantage?event=13863,no teaching days
michigan-b.json,Michigan Ross Executive Education,Board Director Program,2026-11-12,https://michiganross.umich.edu/programs/executive-education/board-director-program?event=14165,no teaching days
michigan-b.json,Michigan Ross Executive Education,Board Director Program,2027-07-23,https://michiganross.umich.edu/programs/executive-education/board-director-program?event=14306,no teaching days
mit-a.json,MIT Sloan School of Management,Making AI Work: Machine Intelligence for Business and Society,2026-11-18,https://executive.mit.edu/course/making-ai-work--machine-intelligence-for-business-and-society/a054v00000jjjNNAAY.html,no teaching days
mit-a.json,MIT Sloan School of Management,Communicating Data Through Storytelling,2026-10-21,https://executive.mit.edu/course/communicating-data-through-storytelling/a054v00000jk27LAAQ.html,no teaching days
mit-a.json,MIT Sloan School of Management,Communicating Data Through Storytelling,2027-02-17,https://executive.mit.edu/course/communicating-data-through-storytelling/a054v00000jk27LAAQ.html,no teaching days
mit-a.json,MIT Sloan School of Management,Communicating Data Through Storytelling,2027-04-21,https://executive.mit.edu/course/communicating-data-through-storytelling/a054v00000jk27LAAQ.html,no teaching days
mit-a.json,MIT Sloan School of Management,Communicating Data Through Storytelling,2027-06-23,https://executive.mit.edu/course/communicating-data-through-storytelling/a054v00000jk27LAAQ.html,no teaching days
mit-a.json,MIT Sloan School of Management,Communicating Data Through Storytelling,2027-08-25,https://executive.mit.edu/course/communicating-data-through-storytelling/a054v00000jk27LAAQ.html,no teaching days
mit-a.json,MIT Sloan School of Management,Unsupervised Machine Learning: Unlocking the Potential of Data,2026-11-11,https://executive.mit.edu/course/unsupervised-machine-learning--unlocking-the-potential-of-data/a054v00000qmi8sAAA.html,no teaching days
mit-a.json,MIT Sloan School of Management,Unsupervised Machine Learning: Unlocking the Potential of Data,2027-03-17,https://executive.mit.edu/course/unsupervised-machine-learning--unlocking-the-potential-of-data/a054v00000qmi8sAAA.html,no teaching days
mit-a.json,MIT Sloan School of Management,Unsupervised Machine Learning: Unlocking the Potential of Data,2027-06-30,https://executive.mit.edu/course/unsupervised-machine-learning--unlocking-the-potential-of-data/a054v00000qmi8sAAA.html,no teaching days
mit-a.json,MIT Sloan School of Management,Artificial Intelligence in Pharma and Biotech,2026-10-21,https://executive.mit.edu/course/artificial-intelligence-in-pharma-and-biotech/a054v00000qmr6hAAA.html,no teaching days
mit-a.json,MIT Sloan School of Management,Artificial Intelligence in Pharma and Biotech,2027-01-13,https://executive.mit.edu/course/artificial-intelligence-in-pharma-and-biotech/a054v00000qmr6hAAA.html,no teaching days
mit-a.json,MIT Sloan School of Management,Artificial Intelligence in Pharma and Biotech,2027-03-10,https://executive.mit.edu/course/artificial-intelligence-in-pharma-and-biotech/a054v00000qmr6hAAA.html,no teaching days
mit-a.json,MIT Sloan School of Management,Artificial Intelligence in Pharma and Biotech,2027-05-05,https://executive.mit.edu/course/artificial-intelligence-in-pharma-and-biotech/a054v00000qmr6hAAA.html,no teaching days
mit-a.json,MIT Sloan School of Management,Artificial Intelligence in Pharma and Biotech,2027-06-30,https://executive.mit.edu/course/artificial-intelligence-in-pharma-and-biotech/a054v00000qmr6hAAA.html,no teaching days
mit-a.json,MIT Sloan School of Management,Artificial Intelligence in Pharma and Biotech,2027-08-25,https://executive.mit.edu/course/artificial-intelligence-in-pharma-and-biotech/a054v00000qmr6hAAA.html,no teaching days
mit-a.json,MIT Sloan School of Management,Blockchain and Crypto Applications: From Decentralized Finance to Web 3,2027-03-03,https://executive.mit.edu/course/blockchain-and-crypto-applications--from-decentralized-finance-to-web-3/a054v00000rHFLVAA4.html,no teaching days
mit-a.json,MIT Sloan School of Management,Unlocking Your Leadership Signature,2026-09-17,https://executive.mit.edu/course/unlocking-your-leadership-signature/a054v00000rHGIfAAO.html,no teaching days
mit-a.json,MIT Sloan School of Management,Unlocking Your Leadership Signature,2027-01-14,https://executive.mit.edu/course/unlocking-your-leadership-signature/a054v00000rHGIfAAO.html,no teaching days
mit-a.json,MIT Sloan School of Management,Unlocking Your Leadership Signature,2027-05-13,https://executive.mit.edu/course/unlocking-your-leadership-signature/a054v00000rHGIfAAO.html,no teaching days
mit-a.json,MIT Sloan School of Management,Leading Organizations for High Velocity Performance,2026-12-10,https://executive.mit.edu/course/leading-organizations-for-high-velocity-performance/a054v00000rHYr9AAG.html,no teaching days
mit-a.json,MIT Sloan School of Management,Leading Organizations for High Velocity Performance,2027-03-11,https://executive.mit.edu/course/leading-organizations-for-high-velocity-performance/a054v00000rHYr9AAG.html,no teaching days
mit-a.json,MIT Sloan School of Management,Leading Organizations for High Velocity Performance,2027-06-10,https://executive.mit.edu/course/leading-organizations-for-high-velocity-performance/a054v00000rHYr9AAG.html,no teaching days
mit-a.json,MIT Sloan School of Management,Global CEO Program,2026-10-26,https://executive.mit.edu/course/global-ceo-program/a054v00000rfyukAAA.html,no teaching days
mit-a.json,MIT Sloan School of Management,Cybersecurity for Managers: A Playbook,2026-09-17,https://executive.mit.edu/course/cybersecurity-for-managers/a056g00000URaaIAAT.html,no teaching days
mit-a.json,MIT Sloan School of Management,Cybersecurity for Managers: A Playbook,2026-12-03,https://executive.mit.edu/course/cybersecurity-for-managers/a056g00000URaaIAAT.html,no teaching days
mit-a.json,MIT Sloan School of Management,Cybersecurity for Managers: A Playbook,2027-04-01,https://executive.mit.edu/course/cybersecurity-for-managers/a056g00000URaaIAAT.html,no teaching days
mit-b.json,MIT Sloan School of Management,Advanced Management Program,2027-06-01,https://executive.mit.edu/course/advanced-management-program/a056g00000URaZGAA1.html,no teaching days
mit-b.json,MIT Sloan School of Management,Artificial Intelligence: Implications for Business Strategy,2026-10-07,https://executive.mit.edu/course/artificial-intelligence/a056g00000URaa3AAD.html,no teaching days
mit-b.json,MIT Sloan School of Management,Artificial Intelligence: Implications for Business Strategy,2026-11-18,https://executive.mit.edu/course/artificial-intelligence/a056g00000URaa3AAD.html,no teaching days
mit-b.json,MIT Sloan School of Management,Artificial Intelligence: Implications for Business Strategy,2027-01-13,https://executive.mit.edu/course/artificial-intelligence/a056g00000URaa3AAD.html,no teaching days
mit-b.json,MIT Sloan School of Management,Artificial Intelligence: Implications for Business Strategy,2027-03-03,https://executive.mit.edu/course/artificial-intelligence/a056g00000URaa3AAD.html,no teaching days
mit-b.json,MIT Sloan School of Management,Artificial Intelligence: Implications for Business Strategy,2027-04-14,https://executive.mit.edu/course/artificial-intelligence/a056g00000URaa3AAD.html,no teaching days
mit-b.json,MIT Sloan School of Management,Artificial Intelligence: Implications for Business Strategy,2027-05-26,https://executive.mit.edu/course/artificial-intelligence/a056g00000URaa3AAD.html,no teaching days
mit-b.json,MIT Sloan School of Management,Artificial Intelligence: Implications for Business Strategy,2027-07-07,https://executive.mit.edu/course/artificial-intelligence/a056g00000URaa3AAD.html,no teaching days
mit-b.json,MIT Sloan School of Management,Artificial Intelligence: Implications for Business Strategy,2027-08-25,https://executive.mit.edu/course/artificial-intelligence/a056g00000URaa3AAD.html,no teaching days
mit-b.json,MIT Sloan School of Management,Business Process Design for Strategic Management,2026-10-07,https://executive.mit.edu/course/business-process-design-for-strategic-management/a056g00000URaa1AAD.html,no teaching days
mit-b.json,MIT Sloan School of Management,Business Process Design for Strategic Management,2027-02-10,https://executive.mit.edu/course/business-process-design-for-strategic-management/a056g00000URaa1AAD.html,no teaching days
mit-b.json,MIT Sloan School of Management,Business Process Design for Strategic Management,2027-04-28,https://executive.mit.edu/course/business-process-design-for-strategic-management/a056g00000URaa1AAD.html,no teaching days
mit-b.json,MIT Sloan School of Management,Business Process Design for Strategic Management,2027-07-21,https://executive.mit.edu/course/business-process-design-for-strategic-management/a056g00000URaa1AAD.html,no teaching days
mit-b.json,MIT Sloan School of Management,Mastering Design Thinking,2026-10-22,https://executive.mit.edu/course/mastering-design-thinking/a056g00000URaa4AAD.html,no teaching days
mit-b.json,MIT Sloan School of Management,Mastering Design Thinking,2027-01-14,https://executive.mit.edu/course/mastering-design-thinking/a056g00000URaa4AAD.html,no teaching days
mit-b.json,MIT Sloan School of Management,Mastering Design Thinking,2027-04-01,https://executive.mit.edu/course/mastering-design-thinking/a056g00000URaa4AAD.html,no teaching days
mit-b.json,MIT Sloan School of Management,Mastering Design Thinking,2027-06-17,https://executive.mit.edu/course/mastering-design-thinking/a056g00000URaa4AAD.html,no teaching days
mit-b.json,MIT Sloan School of Management,Digital Business Strategy: Harnessing Our Digital Future,2026-10-07,https://executive.mit.edu/course/digital-business-strategy/a056g00000URaa6AAD.html,no teaching days
mit-b.json,MIT Sloan School of Management,Digital Business Strategy: Harnessing Our Digital Future,2027-03-10,https://executive.mit.edu/course/digital-business-strategy/a056g00000URaa6AAD.html,no teaching days
mit-b.json,MIT Sloan School of Management,Digital Business Strategy: Harnessing Our Digital Future,2027-05-19,https://executive.mit.edu/course/digital-business-strategy/a056g00000URaa6AAD.html,no teaching days
mit-b.json,MIT Sloan School of Management,Digital Business Strategy: Harnessing Our Digital Future,2027-07-28,https://executive.mit.edu/course/digital-business-strategy/a056g00000URaa6AAD.html,no teaching days
mit-b.json,MIT Sloan School of Management,Blockchain Technologies: Business Innovation and Application,2027-01-20,https://executive.mit.edu/course/blockchain-technologies/a056g00000URaa7AAD.html,no teaching days
mit-b.json,MIT Sloan School of Management,Blockchain Technologies: Business Innovation and Application,2027-04-21,https://executive.mit.edu/course/blockchain-technologies/a056g00000URaa7AAD.html,no teaching days
mit-b.json,MIT Sloan School of Management,Blockchain Technologies: Business Innovation and Application,2027-07-21,https://executive.mit.edu/course/blockchain-technologies/a056g00000URaa7AAD.html,no teaching days
mit-b.json,MIT Sloan School of Management,Corporate Innovation: Strategies for Leveraging Ecosystems,2026-10-07,https://executive.mit.edu/course/corporate-innovation/a056g00000URaaDAAT.html,no teaching days
mit-b.json,MIT Sloan School of Management,Corporate Innovation: Strategies for Leveraging Ecosystems,2027-05-05,https://executive.mit.edu/course/corporate-innovation/a056g00000URaaDAAT.html,no teaching days
mit-b.json,MIT Sloan School of Management,Corporate Innovation: Strategies for Leveraging Ecosystems,2027-07-28,https://executive.mit.edu/course/corporate-innovation/a056g00000URaaDAAT.html,no teaching days
mit-b.json,MIT Sloan School of Management,Machine Learning in Business,2027-02-03,https://executive.mit.edu/course/machine-learning-in-business/a056g00000URaaGAAT.html,no teaching days
mit-b.json,MIT Sloan School of Management,Machine Learning in Business,2027-05-26,https://executive.mit.edu/course/machine-learning-in-business/a056g00000URaaGAAT.html,no teaching days
mit-b.json,MIT Sloan School of Management,Organizational Design for Digital Transformation,2026-10-21,https://executive.mit.edu/course/organizational-design-for-digital-transformation/a056g00000URaaNAAT.html,no teaching days
mit-b.json,MIT Sloan School of Management,Organizational Design for Digital Transformation,2027-02-10,https://executive.mit.edu/course/organizational-design-for-digital-transformation/a056g00000URaaNAAT.html,no teaching days
mit-b.json,MIT Sloan School of Management,Organizational Design for Digital Transformation,2027-04-14,https://executive.mit.edu/course/organizational-design-for-digital-transformation/a056g00000URaaNAAT.html,no teaching days
